Unnamed: 0,geometry_ruta_metro,geometry_ruta_bus,geometry_acces_metro,geometry_parada_bus
0,"MULTILINESTRING ((2.09846442731691 41.34213331882447, 2.098944339523208 41.34201140088207, 2.1004703874388646 41.34162017819767, 2.1007860048747196 41.341549951758374, 2.101079226682891 41.34149861868212, 2.1012074764223505 41.34148531558777, 2.1013705313193856 41.34147109492534, 2.101566650179478 41.34146785998138, 2.101759426481726 41.34147651565143, 2.102010468837419 41.34150349633597, 2.10226440475891 41.34154956805746, 2.1024518647484767 41.3415998861859, 2.1026911059070796 41.3416803954922, 2.102925248079362 41.341785887619245, 2.1031269206357814 41.34189459433845, 2.1035774471046356 41.34218585772285, 2.107241921905464 41.344677306491334))","MULTILINESTRING ((2.1945721433270453 41.385652122773884, 2.1944023709108924 41.38578112113167, 2.1943576598168635 41.38583280883166, 2.1943483642729658 41.38589409410002, 2.194376437897985 41.38595204678908, 2.1952386251346736 41.38659812326203, 2.195310167040424 41.38662573585416, 2.1953503571517206 41.386629367478754, 2.195428536362027 41.38661529448295, 2.1954621982241465 41.38659836130323, 2.196730219202093 41.38564122724568, 2.196760134306328 41.38559433551591, 2.196753224024829 41.38554256606354, 2.196720712515827 41.385506876635205, 2.195804929016756 41.38482453339958, 2.195634252332056 41.384724085950026, 2.195564906305557 41.384656238548025, 2.1920817218916917 41.3789983484439, 2.1920291859692536 41.378940322598794, 2.1919923350914936 41.37891849999868, 2.19192100226135 41.37889604811577, 2.1882565178980116 41.378085224663565, 2.188195540035729 41.378084236371684, 2.188167647888222 41.37809419125283, 2.1881275799771993 41.37813603706564, 2.187004965419532 41.380967275851276, 2.1867573670814324 41.38161697971631, 2.186645640623501 41.38182260737181, 2.1865888315048205 41.381888988000796, 2.186456849352264 41.38201355769968, 2.186409742831652 41.382047948961514, 2.1862791432918054 41.38211619509502, 2.186120828230237 41.38217139145639, 2.18603661790193 41.38218889242526, 2.185709977181308 41.38222439689179, 2.1854745377436116 41.38227831738972, 2.1853850287392853 41.382313101892635, 2.1852902834505534 41.38238895066131, 2.1852534735964575 41.38240797537506, 2.1839340136748 41.38303220475311, 2.183834062563999 41.383064067663994, 2.183725656728598 41.38306810033573, 2.1836724250237673 41.383059391042316, 2.1835760201659307 41.38302184880254, 2.183535798607328 41.38299417173986, 2.1833239819445764 41.3827452508917, 2.1832627407421206 41.38264828284134, 2.183238458877903 41.382564403619355, 2.183190809030842 41.382483304113606, 2.182329531583172 41.38145543141684, 2.181497658429985 41.380444307985314, 2.1781175159908277 41.376264867554404, 2.1780901583711816 41.37623797395516, 2.1780162419568754 41.37620002006112, 2.1779730100456165 41.37619066791145, 2.177887243001158 41.3761926228309, 2.177811100937288 41.37618235110807, 2.1776667310296483 41.3761410926323, 2.177540151924552 41.37607446968944, 2.17743907371358 41.375986536756166, 2.1773846644712456 41.37591135850083, 2.177335362455519 41.37579242203196, 2.1773235097644075 41.37566815037559, 2.177340312712632 41.37551797055136, 2.177310542157295 41.375426331325606, 2.1768253649848956 41.3748361220131, 2.176611787595513 41.3745602073981, 2.176539968191715 41.37450694571113, 2.176447126652276 41.37447738562576, 2.176396862454164 41.37447295475927, 2.1761815519673666 41.37449029456355, 2.1760840324750093 41.37448843494975, 2.1758362972969962 41.3744550458367, 2.175730970245583 41.37446163317065, 2.175635495903419 41.37449577295208, 2.175509374656169 41.37459040409241, 2.175444131188245 41.37462542669927, 2.17529942293693 41.37467674236161, 2.1752448407854894 41.374688493648485, 2.1746624600598 41.37473514196557, 2.172930454106575 41.3748531995173, 2.170379379715936 41.37497441302513, 2.1696611757465236 41.37501691384382, 2.1648285655598505 41.37502484452138, 2.1545707260296814 41.375075011675605, 2.1533040551897584 41.37507049771518, 2.1521473675769442 41.37507499446969, 2.1520178704108153 41.375086120098636, 2.1518097808359906 41.37511954589375, 2.1513910523938096 41.37515981434497, 2.1500261514597954 41.375159233325064, 2.1498785255747968 41.3751675565085, 2.1497386061136186 41.375203958842974, 2.1496744554120264 41.37523201204492, 2.1496156320476434 41.375266040515456, 2.14948735503943 41.375367103531104, 2.149366086439226 41.37542949477824, 2.149298429226935 41.37545129766124, 2.1491547849620503 41.3754742955776, 2.1490081047704406 41.37546870798838, 2.14893672143398 41.375455236641365, 2.148803880502916 41.37540808221284, 2.148684490368766 41.37533083381065, 2.14848861292697 41.375250083293935, 2.148277337456113 41.375195646667535, 2.1481560512974642 41.37518685897156, 2.136316442983915 41.37541333171203, 2.13540939308267 41.375438465997256, 2.1342646499953717 41.375454303172724, 2.1288962016221054 41.37557536001627, 2.1272747752319376 41.37560067177888, 2.1253289023374915 41.37564225949739, 2.125272052929743 41.37566453566035, 2.1252434442320163 41.3757077256177, 2.1252532883382806 41.37607375818206, 2.125243825009403 41.37613748660472, 2.125216988542594 41.37619834476483, 2.1250692609593815 41.37640674652042, 2.123321276079629 41.379071118865276, 2.123268025125924 41.3791128146045, 2.123194909071972 41.37913053417192, 2.123119361532125 41.379120023622086, 2.123086428627869 41.3791047122651, 2.121607540022058 41.37813177091647, 2.1210854532817 41.37776642353434, 2.119830683384928 41.37702318604671, 2.11797040530484 41.37590572887437, 2.1178487567768536 41.375847824459235, 2.1177813934834253 41.37582845565477, 2.1176418641674055 41.37581064163673, 2.117118908158306 41.37583563763181, 2.1147086605271137 41.37588550950478, 2.11257741731326 41.37590714829651, 2.112498282558316 41.37593870969884, 2.112431817248953 41.375990153540734, 2.11239728008675 41.37602836468032, 2.111491416962236 41.37730757635047, 2.1114390340795444 41.37735832208523, 2.1113775597074094 41.37738322271064, 2.1111409523353815 41.37738352932632, 2.1110488633046 41.377358845043645, 2.110978860128703 41.37732026595576, 2.110916246927863 41.37725671937033, 2.110899058702245 41.37720719626827, 2.1109060439376908 41.37712168137211, 2.1109461466759716 41.37705181646645, 2.1109900047515997 41.377008645950575, 2.1110859961707353 41.37696218405926, 2.1111585534410424 41.3769436952049, 2.1112874082127715 41.37696052926719, 2.1114318809936528 41.37700347841313, 2.111501487507096 41.37701474885921, 2.111581176254009 41.3770109190159, 2.1116195785951715 41.37699896064254, 2.111654234162034 41.37697797033548, 2.1121955575593754 41.376231755546286))",POINT (2.1066690928052068 41.34435669904031),POINT (2.1989850510752147 41.39310425052752)
1,"MULTILINESTRING ((2.107241921905464 41.344677306491334, 2.10773410948571 41.34501206777393, 2.108097445713002 41.3452709312345, 2.1084473527197045 41.34554010233381, 2.1087031915631695 41.345750625752075, 2.1089193773199435 41.34593357589857, 2.1092662415103676 41.34621340392496, 2.109626992747381 41.34648308764962, 2.110001110674482 41.346742217581706, 2.1112080712215278 41.34753836722993, 2.1112662755080414 41.347579413490834, 2.111330192096663 41.347627601761175, 2.111456325277655 41.34773035144296, 2.1115889768659097 41.34785836344338, 2.1117058673894302 41.347994819920224, 2.111806055426839 41.348138623745186, 2.111888731737453 41.34828862476013, 2.1119532434134416 41.34844360194648, 2.111999045463835 41.34860230808812, 2.112025796436476 41.34876347050766, 2.112033262806077 41.34892579032821, 2.1120213904482323 41.34908796103908, 2.1119902685440195 41.34924868623249, 2.111940165809436 41.349406652860516, 2.111871457808751 41.34956060273575, 2.111793855319133 41.34969963950621, 2.1117761509904303 41.34972787678607, 2.111442597516605 41.35021521608518, 2.1109169952642675 41.35097554129953))","MULTILINESTRING ((2.1121955575593754 41.376231755546286, 2.1123333705934613 41.37603963822128, 2.112380084554995 41.37599522479289, 2.1124933519285856 41.37590565678649, 2.112585930813927 41.37585320876191, 2.112632861387041 41.375836442786635, 2.1126782286763324 41.375829217044, 2.1138815351153437 41.375816380098264, 2.11394447157714 41.37582937105155, 2.113978605768571 41.37584881575064, 2.1140100574731586 41.37588165533549, 2.114024428236355 41.3759203091823, 2.1140266287041247 41.375961968431085, 2.1138511320431927 41.376223904988635, 2.113827295314158 41.376316320867964, 2.113835583357701 41.37640174758515, 2.1138816750182396 41.37650067788941, 2.113989446961294 41.37665257130415, 2.1141863348801424 41.37685703447769, 2.1143797080279225 41.37700769537639, 2.114598664314901 41.377136979641115, 2.116117469659387 41.37789824429896, 2.1161872580210246 41.37790996728705, 2.1162553586061734 41.3778935197707, 2.116293416941097 41.37786570837545, 2.116370498288843 41.37768216813706, 2.117225093156966 41.37592700756824, 2.1172889615083355 41.375843093147175, 2.117359789464251 41.37578285012176, 2.117451778902928 41.37574285907602, 2.1175065441290073 41.37573592044405, 2.1189303802084254 41.375712175714774, 2.1255133741200347 41.37557511321974, 2.127889212028142 41.37553499590728, 2.130191416304297 41.37548165382978, 2.131889378973716 41.37545403156177, 2.138199807749523 41.37531196491457, 2.144897255632687 41.37518246987997, 2.1455809117044202 41.37516418771506, 2.1470187487360755 41.3751416719136, 2.1479924353645248 41.37511367837898, 2.1482081402522817 41.37505946337726, 2.1484101108734093 41.37497816884083, 2.1484982718048715 41.37490991309933, 2.14856344755164 41.37482340021979, 2.148616471691806 41.374728771751016, 2.1486834077742385 41.37466407005028, 2.1487503707439832 41.37462299527434, 2.1488454907260395 41.374580426147645, 2.148967622340345 41.374538912276044, 2.1490154048041634 41.37453450939835, 2.149125610741295 41.374544664533374, 2.149279786718202 41.37458606726007, 2.1494591746353424 41.374663920330065, 2.1497908501057483 41.374826388381535, 2.149933660714733 41.37487561493947, 2.1500404457617397 41.37489967860506, 2.1501471923340696 41.37491199606129, 2.1504893533901575 41.374936868305646, 2.1543847929725453 41.374920212156304, 2.1608874206746482 41.374916397545036, 2.1616170182933994 41.374902399194106, 2.1638347988534887 41.374891032336535, 2.1672423558839573 41.37488979963402, 2.169237987944998 41.37488305431543, 2.169988919343373 41.37487358847397, 2.1715499841196384 41.37476810016311, 2.1716826247506495 41.37476905426348, 2.173050010685601 41.374688949819266, 2.174809277865055 41.374564177008736, 2.175158658441645 41.37454540409948, 2.175279959522829 41.37452573563412, 2.1753855100698383 41.374482498618484, 2.175430175826366 41.37445202164028, 2.1754977036232397 41.374377157012674, 2.175518867703775 41.374334657811666, 2.175537276786282 41.37423755316607, 2.1755341519963616 41.374184773609294, 2.175521534253007 41.37413279982258, 2.1754643805840588 41.37399489947857, 2.1754524527831403 41.37387404092123, 2.1754724948153807 41.37374134114498, 2.1755297426090285 41.37361492476694, 2.1755715508189546 41.37355592739762, 2.17561793022956 41.37350424983859, 2.1756773013366497 41.37345498919948, 2.175743376116489 41.37341083874948, 2.175892549615438 41.373339918014544, 2.175973880130397 41.3733139727577, 2.176135484178333 41.373280458910315, 2.176294493452155 41.373268742552625, 2.1764651381925835 41.37331297397955, 2.17661964679802 41.37338322968577, 2.17668865271195 41.37342717542998, 2.1767511113449456 41.373476370766745, 2.1768258493359744 41.373554171729815, 2.1768926040541494 41.373649651442754, 2.176922719154729 41.373713829258186, 2.17695519898266 41.37384755320663, 2.1769496609735803 41.37398342847533, 2.1769063485277123 41.374115403727686, 2.1768710719195394 41.37417806929555, 2.1767796660755536 41.37428895636594, 2.176765660708616 41.374327111292544, 2.1767659827659704 41.37440595663002, 2.1767988999578067 41.37447364041997, 2.177540575645621 41.37541853446957, 2.1776075208436567 41.37547060775506, 2.1777645243647274 41.37552175671422, 2.1778302514252275 41.37555091499133, 2.177944709773361 41.37562658474869, 2.1780028262584747 41.375684674873725, 2.178061652022852 41.37578240321843, 2.1780775550398714 41.37583482351841, 2.1780957710609754 41.376135922532384, 2.1781376355581394 41.37622641382251, 2.1819275698090803 41.380925716951644, 2.1823664193047643 41.38145505378662, 2.18320904496991 41.38244237711646, 2.1832635621984755 41.3824744883063, 2.183297385312991 41.38248108749795, 2.183365740766185 41.38247295203322, 2.1841491089502947 41.38210435846521, 2.1847425394909368 41.38184402775864, 2.18657501790319 41.380967905875394, 2.186735083172763 41.38087656497646, 2.186805751544911 41.38082272153568, 2.186869316086625 41.380764062905406, 2.186950670477964 41.380667409938475, 2.187053404690585 41.380487398953655, 2.1873600090091516 41.37970061962216, 2.187727411748754 41.37879693596958, 2.187801818035973 41.37868746966852, 2.1880278435826757 41.378110977516265, 2.188045089302521 41.378082986569225, 2.1881025764193227 41.37803960620259, 2.1881397032675562 41.378026563798784, 2.1882207782103142 41.37802127140681, 2.188537949184867 41.37808782052679, 2.1919942192677864 41.37884350741807, 2.192044676461049 41.37885976874003, 2.1920869764593425 41.378886763849835, 2.192165540669676 41.37899173940759, 2.1950385785990876 41.383660071196466, 2.1956893792776584 41.38469966783505, 2.1956906187038574 41.3847614823153, 2.1956592470411502 41.384819663730745, 2.1956280234760865 41.38485277991681, 2.1952266018371835 41.38516653524449, 2.1951396147677236 41.38522096335273, 2.1945721433270453 41.385652122773884))",POINT (2.1115154528942424 41.35089549772364),POINT (2.157891256250179 41.38854563338069)
2,"MULTILINESTRING ((2.1109169952642675 41.35097554129953, 2.1105222645821966 41.35154431123399, 2.1104431921242055 41.351649539320356, 2.110363853050422 41.35174095670277, 2.110290885167738 41.35181744367857, 2.110153112058766 41.351942413004956, 2.1100008182762853 41.35205742468782, 2.1098352839328167 41.35216152475582, 2.1097123721534143 41.35222737471094, 2.109657730814106 41.352254533439215, 2.1094724565338656 41.35233600651387, 2.107403767236233 41.35310456792564, 2.1070267883142977 41.35325088270622, 2.1067997300365655 41.353347061066344, 2.1066504291730808 41.35341733293737, 2.106401223029983 41.35354816190774, 2.1061635362120397 41.35369062742367, 2.1059383087662846 41.35384416937759, 2.1057264577247965 41.35400816443379, 2.105528840876699 41.354181952768734, 2.1053462449380294 41.35436482896976, 2.1052185619982047 41.354508759522126, 2.105186047719718 41.35454879768003, 2.104981023899329 41.354817196876056, 2.1039440112774357 41.35630114365697, 2.1034456622982423 41.35701164478618, 2.103391018656847 41.35708643239932, 2.103219331782105 41.357341036071475, 2.103065119398031 41.35760191872004, 2.102928785536062 41.35786839898849, 2.102631528901838 41.35855331385863))","MULTILINESTRING ((2.1495624112445664 41.37728335027954, 2.148306746239103 41.376343941990584, 2.1482307323522125 41.37630734577918, 2.1481579740461094 41.37630362037865, 2.1480551651404696 41.37632667099106, 2.1479724192582634 41.37637243229121, 2.1429428892560707 41.38016117313618, 2.1429278155230755 41.38019561003267, 2.1429395777063074 41.380227182658, 2.1429859294090554 41.3802654783092, 2.1430555165301004 41.38030222443243, 2.143741556755284 41.380556908095826, 2.144274851186196 41.380792005310845, 2.1443041720634883 41.38081600305497, 2.1443440415480195 41.3808737492995, 2.144352957823243 41.380938075231256, 2.1443432023872906 41.38096977228432, 2.1443091959867324 41.38101496256014, 2.1439828957502813 41.38124866070651, 2.1427965143804975 41.38214147964728, 2.1427088942426065 41.382241135149215, 2.1426776151430484 41.38229617243926, 2.1426423714502967 41.38241271058497, 2.142638919423413 41.3824725218511, 2.1428717928491436 41.385850588880594, 2.142938493651376 41.38641307328153, 2.1430578779010463 41.387140814205225, 2.1432238308963263 41.387952166872495, 2.1435228548144027 41.389201049086665, 2.1438521682623946 41.39046780120018, 2.144063192615475 41.391125260767524, 2.144102356439949 41.39116794120777, 2.144131923588874 41.39118170826396, 2.144165356301612 41.391188928560965, 2.144233637450856 41.39118204986608, 2.1442633595204486 41.391168480250336, 2.144589375760122 41.390922781696915, 2.144675157635591 41.390872841734975, 2.1447785260263403 41.39084819029734, 2.1448328887787738 41.39084642322197, 2.144886834493904 41.39085184101666, 2.144986871841955 41.3908833535001, 2.148262250532684 41.393257532782826, 2.1482946419889504 41.39329884659972, 2.148297484713714 41.393323007743966, 2.1482752476763736 41.393367970876724, 2.1480579339857715 41.393515167298325, 2.1469826141758266 41.394344895534005, 2.1469613569050185 41.394381605778314, 2.146976849417755 41.39441991236675, 2.1478595153129554 41.39498340872497, 2.1491739383596427 41.39579688587782, 2.150990908065426 41.39695314181594, 2.152078539227866 41.39767194686849, 2.153173833276899 41.39838099779554, 2.1532255721743554 41.39844272836651, 2.153238487598308 41.39847809671391, 2.1532359740817126 41.39855106600561, 2.153203558204872 41.39860988079781, 2.151509006397654 41.400294383379986, 2.151445393477192 41.40039793319263, 2.1513224392249892 41.4005451102914, 2.1512631732118956 41.400668526543, 2.1512473434358284 41.400733146739434, 2.1512436204298715 41.40085939538683, 2.151280345844965 41.40115484172656, 2.1512803040057444 41.40123443164963, 2.1512516498479815 41.401391968711884, 2.1512000413030705 41.40151707171062, 2.151139540184331 41.40160658356776, 2.1500405635044415 41.403021039170945, 2.1500108949707415 41.40307059557022, 2.1499787838049067 41.40317634968875, 2.149976924787449 41.40323091236031, 2.1500751928189348 41.40375276618003, 2.150109312672871 41.403821691136926, 2.1503050741914485 41.404013626306735, 2.150382480066721 41.404124728402735, 2.1504243273144086 41.40424616990634, 2.15042841344415 41.40437159333153, 2.150417038791286 41.40442377086586, 2.150034277379279 41.40539364669264, 2.1500343022252317 41.40558184817359, 2.150107599988837 41.405861693770824, 2.1501104366609542 41.40596763736344, 2.1501006604226083 41.406022811190155, 2.1500805999096677 41.4060767561461, 2.1500415770942602 41.40613407891076, 2.1497417887249135 41.40637954437908, 2.14961594743472 41.406498528408086, 2.149596589094587 41.40653240428442, 2.1495879957234805 41.4065719570961, 2.149597031053531 41.406620461137294, 2.1496119576867656 41.40664683117391, 2.150771298501721 41.407667743600705, 2.150882807658917 41.40781190100175, 2.151242304855302 41.408046732686856, 2.1516276156580054 41.40820047467029, 2.1519466353130134 41.40831725583093, 2.154637660489213 41.409274435125155, 2.1549433853348408 41.40940883709649, 2.155238216107827 41.409566929080434, 2.1558779385467775 41.409976813331696, 2.1564795613648333 41.41040334897748, 2.157525852751468 41.41111109207216, 2.157603821660917 41.41112864505131, 2.1576660334496407 41.411110398395024, 2.15812551726602 41.410625814130825, 2.158186104736119 41.41060120990246, 2.158240149841864 41.410603456681265, 2.158273300200621 41.41061259697513, 2.1597419869634344 41.41137952953911, 2.161538487147817 41.412340661251115, 2.1629240148133793 41.4130997322753, 2.164583556723348 41.41402716118219, 2.165695495561465 41.41459028237893, 2.165882053622984 41.414675196382056, 2.166005927168895 41.41471590674026, 2.166157622255102 41.414740586969536, 2.166247020582098 41.414762780231825, 2.16641456743721 41.414827018656254, 2.166541200793763 41.41490089594136, 2.1666103857167656 41.41495524342501, 2.1667436711863544 41.4150948061326, 2.166854927053482 41.41518574904896, 2.167219032199773 41.4153693072726, 2.167877468719765 41.41565164206431, 2.16802354418138 41.41569310519195, 2.168100519143128 41.41570347951014, 2.1682566219943906 41.41570271567072, 2.1688103298890526 41.41560650590495, 2.1689944261205145 41.41559213467369, 2.169164614119895 41.41560438798033, 2.169321895281434 41.415634175557734, 2.169465601139963 41.41569077934768, 2.1695298354571255 41.415728209350604, 2.169638364780594 41.41581847236418, 2.17017595588184 41.41642302069491, 2.1710230213492956 41.41705675435741, 2.1710901720649294 41.417129468754496, 2.171791737500955 41.41819854335881, 2.1741949800566247 41.42163690618795, 2.1744344399973095 41.42197488749188, 2.17447613265102 41.42201274217208, 2.1745227422827886 41.42203126035231, 2.1745837129064123 41.42202796358766, 2.1755365161280475 41.42166099013263, 2.1757675731739536 41.4215896440529, 2.1759814725920736 41.42154102081842, 2.1769038331250745 41.42139302836484, 2.176982270839282 41.42139700676357, 2.177049759812003 41.421413646933544, 2.1771089328750883 41.421450425537046, 2.1771290346330754 41.421478797355554, 2.1771836958969644 41.42182675164652, 2.177549778100556 41.423678258512105, 2.1775521566979883 41.423748722915775, 2.1775282805173894 41.42388836629233, 2.177476352474411 41.424006218368014, 2.177411947091956 41.424099021582485, 2.1773833813383616 41.42420149362574, 2.1772558587616024 41.42676117084781, 2.177226345969829 41.427551454941074, 2.177234311633277 41.42772071704927, 2.1773323776442064 41.42808311242759, 2.177342601728433 41.42859994355114, 2.1773908883903688 41.42982242976793, 2.1773919297894047 41.43015071405482, 2.177382237682536 41.430199870570206, 2.1773575202631807 41.4302399302867, 2.1773119747873713 41.43027832792304, 2.177246951238206 41.43030576839663, 2.1771959715614475 41.430313844078505, 2.174882077826988 41.430346123371365, 2.1748180071586947 41.4303558696435, 2.1747596873019384 41.43038973403362, 2.1747280833193297 41.430444218804865, 2.1747167237977325 41.43063253736208, 2.1747004528832217 41.43067744000409, 2.172145944885469 41.43525079410546, 2.1721302068073816 41.43531288638724, 2.1721425931138723 41.43539128621533, 2.172174191908216 41.43544316213388, 2.1724388165247284 41.43577496846756, 2.1727590710009963 41.43620387462049, 2.172926558901088 41.43641346522664, 2.1730042558165965 41.43650385462526, 2.1739486525929648 41.437422296088336, 2.174142517373254 41.437654520696896, 2.174449693985718 41.438087766026115, 2.1744782330123376 41.43810549914988, 2.174521016660533 41.43811374146923, 2.1746414197454556 41.43809875157174, 2.1747428898320225 41.4381137557461, 2.174854570006408 41.43816944757976, 2.1749250702003162 41.43823962542153, 2.174961958376715 41.43832310055122, 2.174961056178405 41.438430336732324, 2.174926592937563 41.43849763659574, 2.1748182139189374 41.43858868176245, 2.1748139623367977 41.43860209940571, 2.1750965122244663 41.4389048917741, 2.1751188753129687 41.43897276096195, 2.1751158819480825 41.43900783251968, 2.1750821519566617 41.43907298489704, 2.1748673362006747 41.43928022008768, 2.174159130430404 41.43999996225482, 2.1739219195741812 41.440194343504956, 2.1735679661191267 41.440425159110134, 2.173417880624923 41.440542385410865, 2.173264406624234 41.44068606905801, 2.1731132825231834 41.44086526769856, 2.1729520912192912 41.44116706615081, 2.1728710141606786 41.441386994849466, 2.1727552336293874 41.441955973634286, 2.1727050033872857 41.442070241376, 2.171799406578358 41.443294912086174, 2.171552786027296 41.44365345212072, 2.1715318571333726 41.44366313187427, 2.171501572680921 41.4436573240186, 2.170320974047341 41.44319249948514, 2.170264811198832 41.443182772036465, 2.170212365503935 41.44320076921967, 2.1701946417701934 41.4432182420067, 2.1697108384527874 41.44393886900317))",POINT (2.1108418043280226 41.35075144720632),POINT (2.1587318610871247 41.391021357114504)
