a,i,latitude_bicing,longitude_bicing
230,231,41.407202,2.163476
231,232,41.373509,2.171002
232,233,41.371965,2.166871
233,234,41.371515,2.162166
234,235,41.375065,2.165839
235,236,41.375127,2.152769
236,237,41.372891,2.154471
237,238,41.415684,2.190986
238,239,41.417323,2.184534
239,240,41.417763,2.187558
240,241,41.419337,2.180482
241,242,41.424451,2.177284
242,243,41.423939,2.181298
243,244,41.426896,2.178511
245,246,41.422844,2.186637
246,247,41.421992,2.184806
247,248,41.418208,2.190374
248,249,41.425216,2.188997
249,250,41.425905,2.19115
250,251,41.425405,2.185226
251,252,41.429953,2.193185
252,253,41.429977,2.191821
253,254,41.429985,2.190163
254,255,41.431183,2.185852
255,256,41.43608,2.189542
256,257,41.433897,2.189614
257,258,41.442167,2.193032
258,259,41.439109,2.185818
259,260,41.436163,2.192994
260,261,41.382206,2.160644
261,262,41.379821,2.152496
262,263,41.437814,2.191039
263,264,41.439949,2.197033
264,265,41.385467,2.158532
265,266,41.426841,2.184238
266,267,41.443395,2.190623
267,268,41.445705,2.192892
268,269,41.448128,2.192826
269,270,41.448628,2.18976
270,271,41.450634,2.192335
271,272,41.432559,2.184264
272,273,41.430404,2.183382
273,274,41.430092,2.184898
274,275,41.430693,2.182225
275,276,41.412163,2.165275
276,277,41.408284,2.16905
277,278,41.409815,2.171621
278,279,41.415951,2.174564
279,280,41.413986,2.177842
280,281,41.418088,2.176313
281,282,41.427561,2.166022
282,283,41.42968,2.16157
283,284,41.389503,2.131454
284,285,41.436708,2.186059
285,286,41.403103,2.191428
286,287,41.389171,2.168113
287,288,41.429636,2.174487
288,289,41.416828,2.191022
289,290,41.437094,2.174047
290,291,41.425897,2.17505
291,292,41.430036,2.171974
292,293,41.428388,2.163101
293,294,41.436373,2.170678
294,295,41.43345,2.1715
295,296,41.436505,2.183877
296,297,41.438864,2.176822
297,298,41.43463,2.181747
298,299,41.433965,2.175199
299,300,41.431593,2.176909
300,301,41.437053,2.169644
301,302,41.39065,2.111615
302,303,41.393341,2.115076
303,304,41.390208,2.121029
304,305,41.387498,2.123637
305,306,41.385465,2.122912
306,307,41.379135,2.113505
307,308,41.376788,2.113864
308,309,41.37674,2.116973
309,310,41.381223,2.119077
310,311,41.378638,2.120393
311,312,41.379046,2.123253
312,313,41.375366,2.129847
313,314,41.37836,2.129737
314,315,41.415617,2.181966
315,316,41.422212,2.198316
316,317,41.425566,2.200693
317,318,41.413406,2.171331
318,319,41.393713,2.145584
319,320,41.401118,2.147989
320,321,41.403054,2.144549
321,322,41.400977,2.13907
322,323,41.397996,2.138717
323,324,41.396938,2.136258
324,325,41.39493,2.130325
325,326,41.407384,2.1383
326,327,41.405,2.13453
327,328,41.40293,2.13427
328,329,41.402879,2.128541
329,330,41.400587,2.130658
330,331,41.39706,2.12801
331,332,41.399833,2.128083
332,333,41.395632,2.125106
333,334,41.400722,2.123268
334,335,41.393639,2.123224
335,336,41.395274,2.120973
336,337,41.398719,2.120422
337,338,41.397572,2.119506
338,339,41.401662,2.205277
339,340,41.43619,2.204573
340,341,41.433958,2.206166
341,342,41.403502,2.193702
342,343,41.438886,2.199598
343,344,41.443127,2.199538
344,345,41.363093,2.139771
345,346,41.360654,2.139132
346,347,41.359496,2.14182
347,348,41.357067,2.141563
348,349,41.357338,2.137172
349,350,41.391833,2.14812
350,351,41.362135,2.135637
351,352,41.36335,2.134144
352,353,41.375414,2.123191
353,354,41.37592,2.13008
354,355,41.37211,2.12859
355,356,41.413425,2.163411
356,357,41.410538,2.1581
357,358,41.387225,2.17927
358,359,41.390021,2.177572
359,360,41.395213,2.172984
360,361,41.376292,2.178553
361,362,41.397006,2.17057
362,363,41.39076,2.1744
363,364,41.39324,2.16343
364,365,41.387499,2.14702
365,366,41.393037,2.14358
366,367,41.385057,2.137331
367,368,41.396815,2.175714
368,369,41.400168,2.177948
369,370,41.403735,2.172987
370,371,41.404027,2.181264
371,372,41.400167,2.184362
372,373,41.375073,2.161305
373,374,41.395,2.16123
374,375,41.372154,2.180701
375,376,41.371663,2.180302
376,377,41.37747,2.183737
377,378,41.378516,2.176716
378,379,41.381709,2.177308
379,380,41.385463,2.174252
380,381,41.381686,2.167816
381,382,41.403938,2.204188
383,384,41.380708,2.146793
384,385,41.387978,2.155266
385,386,41.375086,2.156848
386,387,41.395796,2.178784
387,388,41.380593,2.167418
388,389,41.38739,2.1875
389,390,41.386955,2.18195
390,391,41.422873,2.191204
391,392,41.390595,2.190681
392,393,41.402177,2.197653
393,394,41.387151,2.162838
394,395,41.386009,2.170212
395,396,41.389028,2.196844
396,397,41.388894,2.199334
397,398,41.381011,2.193502
399,400,41.36958,2.188017
400,401,41.381241,2.181838
401,402,41.380705,2.182415
403,404,41.365374,2.133087
404,405,41.38551,2.152
405,406,41.386512,2.164597
406,407,41.388471,2.192835
407,408,41.388988,2.192283
408,409,41.392272,2.192556
409,410,41.376433,2.17871
411,412,41.389012,2.172667
412,413,41.393512,2.170718
413,414,41.393744,2.176451
414,415,41.379374,2.168921
415,416,41.378134,2.16965
417,418,41.390943,2.180251
418,419,41.391299,2.180828
419,420,41.374213,2.148082
420,421,41.378031,2.139124
422,423,41.420201,2.189532
423,424,41.379632,2.192662
424,425,41.37652,2.1749
425,426,41.398305,2.183023
426,427,41.375336,2.168007
427,428,41.398389,2.196261
450,451,41.37445,2.159668
451,452,41.398747,2.186289
452,453,41.379563,2.16204
453,454,41.402448,2.204131
454,455,41.388966,2.19917
455,456,41.389853,2.128581
456,457,41.401519,2.134235
457,458,41.384344,2.122085
458,459,41.393941,2.181443
459,460,41.385702,2.177316
460,461,41.384111,2.14274
461,462,41.390125,2.143221
462,463,41.375244,2.169795
463,464,41.427727,2.177205
464,465,41.40542,2.142456
465,466,41.415745,2.180684
466,467,41.38582,2.194135
467,468,41.430201,2.187974
468,469,41.404362,2.197132
469,470,41.397921,2.125411
470,471,41.39415,2.114973
471,472,41.407353,2.151341
472,473,41.404459,2.214978
473,474,41.3989,2.153668
474,475,41.408528,2.169385
475,476,41.402459,2.19042
476,477,41.376648,2.178745
477,478,41.3798,2.1891
478,479,41.387298,2.196595
479,480,41.381516,2.170239
480,481,41.383036,2.150337
481,482,41.41306,2.22123
482,483,41.401752,2.160748
483,484,41.388101,2.166997
484,485,41.389914,2.173239
485,486,41.396934,2.159445
486,487,41.38921,2.154
487,488,41.423976,2.184391
488,489,41.409532,2.188282
490,491,41.37252,2.12898
491,492,41.394232,2.175278
492,493,41.38186,2.177086
493,494,41.389481,2.165357
494,495,41.377191,2.149283
495,496,41.404871,2.175141
